坫	dian
坭	ni
坯	pi
坳	ao
坵	qiu
坶	mu
坷	jiong
坻	chi
坼	che
坿	fu
垂	chui
垃	la
垄	long
垆	lu
垇	ao
型	xing
垌	dong
垍	ji
垒	lei
垓	gai
垕	hou
垚	yao
垛	duo
垜	duo
垝	gui
垞	cha
垟	yang
垠	yin
垡	fa
垢	gou
垣	yuan
垤	die
垦	ken
垧	shang
垩	e
垫	dian
垭	ya
垮	kua
垯	da
垱	dang
垲	kai
垴	nao
垵	an
垸	yuan
垽	yin
垿	xu
埂	geng
埃	ai
埆	que
埋	mai
埌	lang
城	cheng
埏	shan
埒	lie
埔	bu
埕	cheng
埘	shi
埙	xun
埚	guo
埜	ye
埝	nian
域	yu
埠	bu
埡	ya
埤	pi
埨	lun
埭	dai
埯	an
埰	cai
埳	kan
埴	zhi
埵	duo
執	zhi
埸	yi
培	pei
基	ji
埻	zhun
埼	qi
埽	sao
堀	ku
堂	tang
堃	kun
堄	ni
堅	jian
堆	dui
堇	jin
堉	yu
堊	e
堋	peng
堌	gu
堍	tu
堎	leng
堑	qian
堕	duo
堖	nao
堘	cheng
堙	yin
堝	guo
堞	die
堠	hou
堡	bao
堤	di
堦	jie
堧	ruan
堩	geng
堪	kan
堯	yao
堰	yan
報	bao
場	chang
堵	du
堶	tuo
堽	gang
堾	chun
堿	jian
塃	huang
塄	leng
塅	duan
塆	wan
塈	ji
塊	kuai
塋	ying
塌	ta
塍	cheng
塏	kai
塑	su
塒	shi
塔	da
塕	weng
塗	tu
塘	tang
塙	que
塜	zhong
塝	bang
塞	sai
塢	wu
塥	ge
塨	gong
填	tian
塬	yuan
塮	xie
塱	lang
塲	chang
塵	chen
塼	zhuan
塽	shuang
塾	shu
墀	chi
墁	man
境	jing
墅	shu
墈	kan
墉	yong
墊	dian
墐	jin
墒	shang
墓	mu
墖	ta
墘	qian
墙	qiang
墚	liang
墜	zhui
墝	qiao
增	zeng
墟	xu
墠	shan
墡	shan
墦	fan
墨	mo
墩	dun
墬	di
墮	duo
墰	tan
墳	fen
墶	da
墻	qiang
墼	ji
墾	ken
壁	bi
壄	ye
壅	yong
壇	tan
壈	lan
壋	dang
壎	xun
壑	he
壓	ya
壕	hao
壖	ruan
壘	lei
壙	kuang
壚	lu
壜	tan
壞	huai
壟	long
壠	long
壢	li
壤	rang
壩	ba
壪	wan
士	shi
壬	ren
壮	zhuang
壯	zhuang
声	sheng
壳	ke
壶	hu
壸	kun
壹	yi
壺	hu
壻	xu
壼	kun
壽	shou
夀	shou
处	chu
备	bei
复	fu
夏	xia
夐	xiong
夒	nao
夔	kui
夕	xi
外	wai
夙	su
多	duo
夜	ye
够	gou
夠	gou
夢	meng
夤	yin
夥	huo
大	da
天	tian
太	tai
夫	fu
夬	guai
夭	yao
央	yang
夯	ben
失	shi
头	tou
夷	yi
夸	kua
夹	ga
夺	duo
夼	kuang
夾	ga
夿	ba
奀	en
奁	lian
奂	huan
奄	yan
奅	pao
奇	ji
奈	nai
奉	feng
奋	fen
奎	kui
奏	zou
奐	huan
契	qi
奓	zha
奔	ben
奕	yi
奖	jiang
套	tao
奘	zang
奚	xi
奠	dian
奡	ao
奢	she
奤	ha
奥	ao
奩	lian
奪	duo
奬	jiang
奭	shi
奮	fen
奰	bi
奲	duo
女	nü
奴	nu
奶	nai
奸	jian
她	ta
奼	cha
好	hao
妁	shuo
如	ru
妃	fei
妄	wang
妆	zhuang
妇	fu
妈	ma
妊	ren
妍	yan
妒	du
妓	ji
妖	yao
妗	jin
妘	yun
妙	miao
妝	zhuang
妞	niu
妣	bi
妤	yu
妥	tuo
妨	fang
妩	wu
妪	yu
妫	gui
妬	du
妮	ni
妯	zhou
妲	da
妹	mei
妺	mo
妻	qi
妾	qie
姁	xu
姆	mu
姊	zi
始	shi
姍	shan
姐	jie
姑	gu
姒	si
姓	xing
委	wei
姗	shan
姘	pin
姙	ren
姚	yao
姜	jiang
姝	shu
姞	ji
姣	jiao
姥	lao
姦	jian
姨	yi
姪	zhi
姬	ji
姮	heng
姱	kua
姸	yan
姹	cha
姻	yin
姽	gui
姿	zi
娀	song
威	wei
娃	wa
娄	lou
娅	ya
娆	rao
娇	jiao
娈	luan
娉	ping
娌	li
娑	suo
娒	mei
娓	wei
娖	chuo
娘	niang
娜	na
娟	juan
娠	shen
娣	di
娥	e
娩	mian
娬	wu
娭	ai
娱	yu
娲	wa
娴	xian
娶	qu
娼	chang
娿	e
婀	e
婁	lou
婆	po
婉	wan
婊	biao
婕	jie
婗	ni
婚	hun
婞	xing
婢	bi
婣	yin
婦	fu
婧	jing
婪	lan
婬	yin
婭	ya
婳	hua
婴	ying
婵	chan
婶	shen
婷	ting
婺	wu
婼	chuo
婾	tou
婿	xu
媒	mei
媕	an
媖	ying
媚	mei
媛	yuan
媟	xie
媢	mao
媧	wa
媪	ao
媭	xu
媯	gui
媲	pi
媳	xi
媵	ying
媸	chi
媾	gou
媿	kui
嫁	jia
嫂	sao
嫄	yuan
嫉	ji
嫋	niao
嫌	xian
嫏	lang
嫒	ai
嫔	pin
嫕	yi
嫖	piao
嫗	yu
嫘	lei
嫚	man
嫛	yi
嫜	zhang
嫠	li
嫡	di
嫣	yan
嫦	chang
嫩	nen
嫪	lao
嫫	mo
嫱	qiang
嫳	pie
嫵	wu
嫺	xian
嫽	liao
嫿	hua
嬀	gui
嬈	rao
嬉	xi
嬋	chan
嬌	jiao
嬎	fan
嬖	bi
嬗	shan
嬙	qiang
嬛	huan
嬡	ai
嬪	pin
嬭	nai
嬲	niao
嬴	ying
嬷	ma
嬸	shen
嬾	lan
孀	shuang
孃	niang
孌	luan
子	zi
孑	jie
孓	jue
孔	kong
孕	yun
孖	ma
字	zi
存	cun
孙	sun
孚	fu
孛	bei
孜	zi
孝	xiao
孟	meng
孢	bao
季	ji
孤	gu
孥	nu
学	xue
